,Name,Game,Key Signature,Time Signature,Instruments,Length
54,Battle! Zekrom,f minor,0.7431426926816668,4/4,"['Horn', 'Horn', None, 'Horn', 'Horn', 'Horn', 'Brass', 'Piano', None, None, 'Harp']",139.25313399999885
55,Before Victory Road,A- major,0.29124628528928787,4/4,"[None, 'Electric Bass', 'Electric Bass', None, 'Electric Bass', None, 'Piano']",19.442572104166686
56,Berries Received!,F major,0.6860587076643052,4/4,"['Xylophone', 'Xylophone', None, None, None, None, None, None]",1.2499987499999994
57,Bicycle Theme,E major,0.9033489728789987,4/4,"['StringInstrument', 'StringInstrument', None, None, None, None, None, None, None]",65.67105810416567
58,Black City,E major,0.5345264387964518,4/4,"['Piano', 'StringInstrument', None, None, None, 'Electric Organ', None, 'Piano', None, 'StringInstrument']",31.514235520833065
59,Black Tower Lobby,g minor,0.667597912758133,4/4,"[None, None, None, None, None, None, None]",18.311058020833286
60,Black Tower,g# minor,0.4347750117666352,4/4,"[None, None, None, 'Clavichord', None, 'Clavichord', None, None]",80.55061874999933
61,BP Recevied!,d minor,0.7320316560094305,4/4,"[None, None, None, 'Harmonica', 'Harmonica', 'Harmonica', None]",4.48958333333333
62,Castelia City Gym,F major,0.6361166340963463,4/4,"['Piano', None, 'Piano', None, None, None, 'Piano', None, None, None, 'Piano']",80.73602975000077
63,Castelia City,A- major,0.7821951220597115,4/4,"[None, None, 'Electric Guitar', 'Reed Organ', None, 'Timpani', None, None]",50.745634333332504
64,Challenge the Battle Competition,c minor,0.800795930093283,4/4,"[None, None, 'Electric Bass', 'Violoncello', 'StringInstrument', 'Violin', 'Marimba', None, None, None, 'Violoncello']",26.95412560416673
65,Chargestone Cave,B major,0.4059690295640354,4/4,"[None, None, 'Electric Bass', None, None, None, 'Violoncello', None, None, None]",42.995968562500096
66,Coalescence [B],b- minor,0.6686550588075658,4/4,"[None, None, 'Brass', 'Guitar', None, 'Violin', None, None, None, None, 'Piano']",33.72118066666671
67,Coalescence [W],b- minor,0.6686550588075658,4/4,"[None, None, 'Brass', 'Guitar', None, 'Violin', None, None, None, None, 'Piano']",33.72118066666671
68,Collected All The Medals!,a minor,0.7845706276261437,4/4,"[None, 'Fretless Bass', 'Violin', None, None, None, 'Violoncello', None, None, None]",3.821424749999997
69,Come Along! [1],D major,0.7598074601044869,4/4,"['Harpsichord', 'Organ', None, 'Electric Guitar', None, 'Harpsichord']",7.9450678125000245
70,Come Along! [2],A major,0.8180724551816488,4/4,"['Piano', 'Harpsichord', 'Organ', None, 'Electric Guitar', None, None, 'Piano']",24.953347395833447
71,Confrontation,e- minor,0.2657683219082974,4/4,"[None, 'Guitar', 'Piano', 'Acoustic Bass', None, None, None, 'Piano', None, None, 'Piano']",36.43655181250019
72,Coronation Day,f minor,0.7436042610224878,4/4,"[None, None, 'Electric Bass', None, None, 'Soprano Saxophone', 'Piano', 'Church Bells', 'Bassoon', 'Piano', None, 'Electric Bass']",44.666666666666686
73,Critical Condition!,a minor,0.4004430802706844,4/4,"['StringInstrument', 'Vibraphone', 'Reed Organ', None, None, None]",22.284699520833463
74,Dragonspiral Tower,b- minor,0.653480145102046,4/4,"['Piano', None, None, None, None, None, None, 'Piano', None, None, None]",67.64144862499992
75,Dreamyard,c# minor,0.819680375581646,4/4,"[None, None, None, 'Electric Guitar', 'Violoncello', None, 'Violoncello', 'Violoncello', None]",73.43280400000086
76,Dress-Up Time!,B- major,0.8392034840463969,4/4,"['Vibraphone', None, 'Electric Guitar', 'Vibraphone', None, 'Vibraphone', 'Electric Guitar', 'Vibraphone', None]",18.273823229166606
77,Driftveil Bridge,c minor,0.7835467619819466,4/4,"['Piano', 'Piano', 'Church Bells', 'Glockenspiel', None, None, 'Piano', 'Church Bells', 'Piano']",682.9341833749967
78,Driftveil City Gym,a minor,0.8135892168321545,4/4,"[None, 'Acoustic Bass', 'Reed Organ', None, None, 'Acoustic Bass', None, None, None, None]",41.5840212291671
79,Driftveil City,F# major,0.7694627803638152,4/4,"[None, 'Dulcimer', None, 'Violin', None, 'Violin', 'Vibraphone', None, None]",40.87958874999971
80,Encounter! Ace Trainer,D major,0.7886228183790859,4/4,"[None, None, None, None, None, None]",15.255274062500115
81,Encounter! Alder,d minor,0.9211866688118558,4/4,"['Timpani', None, 'Reed Organ', None, None, 'Reed Organ', None, 'Timpani']",38.92679297916644
82,Encounter! Backpacker,B- major,0.8926068451897193,4/4,"[None, 'Violoncello', 'Contrabass', 'Timpani', 'Violin', None, None, None]",7.035977812500021
83,Encounter! Beauty,A major,0.5684081375887595,4/4,"['Bagpipes', 'Organ', None, 'Organ', None, None, 'Bagpipes', 'Bagpipes', None, None]",16.989583333333325
84,Encounter! Bianca [BW2],G major,0.7854281467115538,4/4,"['Clavichord', 'Clavichord', None, 'Reed Organ', None, 'Reed Organ', None, None]",31.39020574999975
85,Encounter! Bianca,G major,0.8175179416587522,4/4,"[None, 'Guitar', None, None, None, None, None, None]",24.989583333333417
86,Encounter! Cheren [BW2],c# minor,0.2689669721183074,4/4,"[None, 'Clavichord', None, None, None, 'Clavichord', None, None, None, None, None]",26.73448008333311
87,Encounter! Cheren,d minor,0.6565285833301,4/4,"[None, None, None, 'Guitar', None, 'Piano', None, None]",25.546270749999827
88,Encounter! Colress,F major,0.8146029880822531,4/4,"[None, None, None, None, None, None, None, None, None, None, None]",30.21293274999988
89,Encounter! Cyclist,c# minor,0.5032401290310585,4/4,"[None, None, 'Accordion', None, None, 'Violin', None]",12.263245312499981
90,Encounter! Cynthia,b minor,0.8171430265227426,4/4,"['Piano', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano']",40.76405043750076
91,Encounter! Friend,D major,0.8887176076621769,4/4,"['StringInstrument', None, 'Electric Guitar', None, 'Piano', 'Reed Organ', 'StringInstrument', None]",44.19957908333248
92,Encounter! Gentleman,C# major,0.7873176126378836,4/4,"[None, 'StringInstrument', None, None, None, 'StringInstrument', None]",15.983333333333444
93,Encounter! Ghetsis,A- major,0.5318661234384036,4/4,"[None, None, 'StringInstrument', 'Electric Bass', 'Violoncello', None, None, None]",15.88749999999995
94,Encounter! Harlequin,F# major,0.6105958072660356,4/4,"['Electric Organ', 'Harpsichord', None, 'Electric Organ', 'Organ', None]",15.562968020833296
95,Encounter! Juniper's Dad,F major,0.9023252185637762,4/4,"['Reed Organ', None, None, 'Reed Organ', None, 'Reed Organ', None, None]",28.2738307291665
96,Encounter! Lass,B- major,0.773691890364929,4/4,"[None, None, 'Reed Organ', None, None, 'Reed Organ', None]",15.341560562499945
97,Encounter! Looker,d minor,0.7958437687610733,4/4,"[None, 'Violoncello', None, 'Violin', None, 'Violoncello', None]",32.42395406250005
98,Encounter! Male Clerk,G major,0.7727503309736461,4/4,"['Piano', 'Electric Guitar', None, None, 'Piano', None]",11.992641062500047
99,Encounter! N [BW2],F major,0.7525535481100125,4/4,"['Electric Organ', None, None, 'Electric Organ', None, None, 'Electric Organ', 'Electric Organ', None]",36.19583708333333
100,Encounter! N,f minor,0.472800169343302,4/4,"['Electric Organ', None, None, None, None, None, 'Electric Organ']",17.8046875
101,Encounter! Parasol Lady,f# minor,0.7580606986586534,4/4,"['Vibraphone', None, 'Organ', 'Dulcimer', None, None, None, 'Piano', None]",13.527784541666596
102,Encounter! Pokefan,G major,0.6161669055664775,4/4,"[None, None, 'Violin', None, 'Violin', None]",15.101836750000002
103,Encounter! Prof. Juniper,A major,0.8091677747482545,4/4,"[None, 'Acoustic Bass', None, None, None, None, None, 'Acoustic Bass', None]",33.38042643750044
104,Encounter! Psychic,B- major,0.5379870398554558,4/4,"[None, 'Organ', 'Voice', None, 'Contrabass', 'Reed Organ', 'Harmonica', 'Piano', None, None, 'Reed Organ']",17.86500000000002
105,Encounter! Rival Hugh,g# minor,0.7881353068002219,4/4,"[None, None, None, None, 'Clavichord', None, None]",40.52152385416664
106,Encounter! Roughneck,F# major,0.780244820860432,4/4,"['Soprano Saxophone', None, None, 'Soprano Saxophone', 'Piano', None, None]",24.862794104166454
107,Encounter! Scientist,g minor,0.39190175088351425,4/4,"['Piano', 'Piano', 'Piano', None, 'Electric Bass', None, 'Piano']",11.711058937500006
108,Encounter! Seven Sages [BW2],g minor,0.5260169363083154,4/4,"['Electric Bass', None, None, 'Electric Bass', None, None, None]",35.42751206250014
109,Encounter! Seven Sages,g minor,0.6048342969058919,4/4,"['Piano', None, None, None, None, None, None, 'Piano', None]",19.417698666666645
110,Encounter! Shadow Triad,a minor,0.7484070280864934,4/4,"[None, None, None, 'Kalimba', 'Kalimba', 'Kalimba', None, None]",26.7621741875002
111,Encounter! Sound Designer,A- major,0.4400850037945271,4/4,"[None, None, None, None, None, None, None, None, None]",37.6796875
112,Encounter! Team Neo Plasma Grunt,C major,0.7247711967520057,4/4,"['Horn', 'Horn', 'Timpani', None, None, None, 'Horn', 'Piano', 'Sitar', None, 'Acoustic Bass']",22.7573415625
113,Encounter! Team Plasma Grunt,b minor,0.4774806005989682,4/4,"['Horn', None, 'Timpani', None, None, 'Harp', None, 'Piano', None, None]",23.839261874999988
114,"Encounter! Team Plasma, Again [BW2]",C# major,0.6449463324207362,4/4,"[None, None, None, None, None, None]",39.98877272916675
115,Encounter! Team Plasma,b minor,0.5651084541791821,4/4,"['Horn', None, 'Timpani', None, None, 'Harp', 'Brass', 'Piano', None, None]",41.98958333333325
116,Encounter! Twins,G major,0.7315539133233739,4/4,"[None, None, None, None, 'Electric Organ', None, None, None, None]",13.4921875
117,Encounter! Youngster,G major,0.8555496054859238,4/4,"['Vibraphone', None, 'Electric Guitar', 'Reed Organ', 'Vibraphone', None, None]",7.5
118,Entralink,d minor,0.9382961296681128,4/4,"[None, None, None, 'Church Bells', 'Violoncello', 'Violin', None, None, None, None, 'Church Bells']",52.24798735416682
119,Epilogue,E- major,0.8921730138487647,4/4,"['Piano', None, None, None, None, None, None, 'Piano']",91.19733618749952
120,Exciting Nimbasa,d minor,0.7753274115845153,4/4,"['Piano', 'Organ', 'Electric Guitar', 'Organ', None, None, 'Piano', None]",59.089999999999556
121,Feeling Check [Almost!],A major,0.9192719424969753,4/4,"[None, 'Piano', 'Electric Organ', None, 'Timpani', None]",3.125
122,Feeling Check [Low],e minor,0.8071194126023044,4/4,"['Vibraphone', None, 'Electric Guitar', 'Electric Organ', 'Vibraphone']",1.6023507291666643
123,Feeling Check [Perfect!],A- major,0.9601162882926382,4/4,"[None, 'Organ', 'Electric Guitar', None, None, None, None]",3.9717785624999875
124,Feeling Check!,B major,0.7555671591731843,4/4,"['Vibraphone', 'Electric Organ', 'Vibraphone', 'Electric Guitar']",2.2916643749999994
125,Ferris Wheel Ride,D major,0.9036670736862024,4/4,"[None, None, None, None, None, None]",39.434940708333144
126,Filming in Session!,b- minor,0.8645963716172455,4/4,"['Piano', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano']",100.50678020833313
127,Flocessy Ranch,B- major,0.8854027117227314,4/4,"['Organ', 'Organ', None, 'Organ', 'StringInstrument', 'Violoncello', 'StringInstrument', None, None, None]",29.986979166666583
128,Flocessy Town,c# minor,0.775118383609992,4/4,"['Organ', None, None, None, None, 'Church Bells', 'Organ', 'Church Bells', None]",42.32793664583358
129,Forest Stroll,c minor,0.815187188510245,4/4,"[None, 'Timpani', None, None, None, None, 'Fretless Bass', 'Timpani', None, None]",63.33019643750092
130,Frozen Opelucid,g# minor,0.7609261921886041,4/4,"['Piano', None, 'Piano', None, None, 'Piano', 'Piano', None, None, None]",57.25850745833381
131,Full Habitat Dex Complete!,c minor,0.8937697226482402,4/4,"[None, None, None, 'Violoncello', None, None, None, None]",2.37433625
132,Funfest Mission,A- major,0.6797093740452356,4/4,"[None, None, None, None, None, None, None, None, None]",37.16547437500054
133,Game Sync,g minor,0.9066895042096053,4/4,"[None, None, None, None, 'Piano', 'Piano', 'Piano', None, None]",32.48612735416629
134,GameFreak Logo,F major,0.4836948148949649,4/4,"['Piano', None, None, None, None, 'Piano', None, None]",8.787500000000009
135,Gear Station,A major,0.8349003496018035,4/4,"['Piano', None, None, None, None, 'Piano', None, 'Piano', 'Piano', None, 'Piano']",72.18750000000156
136,Ghetsis' Chamber,F major,0.5056038789721226,4/4,"[None, None, None, None, None, None, None]",29.990234375
137,Global Terminal,F major,0.8282277202792723,4/4,"['StringInstrument', None, None, 'Piano', None, None, None, None]",64.19592620833262
138,Global Trade Station,E- major,0.7683249796030442,4/4,"[None, None, None, 'Electric Bass', 'Acoustic Bass', 'Fretless Bass', None, None, None, None, 'Clavichord']",43.99999999999969
139,Gym Leader's Last Stand!,G major,0.8138633058511788,4/4,"['Trumpet', 'Horn', 'Violin', None, 'Electric Bass', 'Horn', 'Glockenspiel', None, 'Trumpet', None]",50.547788958333626
140,Gym Theme,a minor,0.8119369859690558,4/4,"[None, 'Acoustic Bass', 'Reed Organ', None, None, 'Acoustic Bass', None, None, None]",41.5840212291671
141,Habitat Dex Complete!,c minor,0.759049437550832,4/4,"[None, None, None, 'Violoncello', None, None, None, None]",2.0568762500000006
142,Healing Jingle,E major,0.7603270880564592,4/4,"[None, None, None, 'Piano', None, None, None, None, 'Piano', None]",2.111740312499999
143,Hidden Grotto,a minor,0.45038928159151065,4/4,"['Vibraphone', None, None, 'Vibraphone']",17.766217916666662
144,Humilau City Gym,a minor,0.6853869825044105,4/4,"['StringInstrument', None, None, 'Reed Organ', 'Saxophone', 'StringInstrument', None, 'Reed Organ', None]",49.21475835416644
145,Humilau City,E major,0.7755984045803826,4/4,"['Piano', None, 'Acoustic Bass', 'Organ', 'Piano', None, None, None, None, 'Organ']",80.98958333333353
146,Icirrus City,G major,0.9307298229735993,4/4,"['Fretless Bass', 'Xylophone', 'Reed Organ', 'Church Bells', 'Harpsichord', None, 'Guitar', 'Fretless Bass', None, None, 'Xylophone']",54.37817035416733
147,Infiltrate! Plasma Frigate,g minor,0.5035291240788278,4/4,"['Violoncello', None, None, 'Voice', None, 'Piano', 'Piano', None, 'Violoncello', None, None]",55.98958333333287
148,Introducing...!,F major,0.7074681911762704,4/4,"['Violoncello', 'Timpani', None, None, None, 'Fretless Bass', 'Violoncello', None]",16.65119485416668
149,Item Received!,A- major,0.7480259494677448,4/4,"[None, None, None, 'StringInstrument', None, None, None, None]",1.9999970000000011
150,Join Avenue (Greeting!),G major,0.8478765338447749,4/4,"[None, None, None, 'Soprano Saxophone', 'Piano', 'Piano', 'Soprano Saxophone', None, None]",29.757734083332913
151,Join Avenue Level Up #1,F# major,0.7694742806300146,4/4,"['Vibraphone', None, None, None, None]",2.876599687500001
152,Join Avenue Level Up #2,E major,0.7376172592322472,4/4,"['Vibraphone', None, None, None, None, None]",4.799674687499997
153,Join Avenue,a minor,0.7714577462513835,4/4,"['Acoustic Bass', None, None, None, None, None, 'Acoustic Bass', None, None, None, None]",41.894799374999614
154,Key Item Received!,e- minor,0.7356727172325994,4/4,"[None, None, None, None, 'Xylophone', None, None]",2.1102930625000016
155,Lacunosa Town,b- minor,0.9032314173156447,4/4,"['Piano', 'Reed Organ', None, None, 'Reed Organ', 'Reed Organ', None]",53.31595089583398
156,Lake Cavern,c minor,0.648771802162179,4/4,"['Fretless Bass', 'Trumpet', None, 'Accordion', 'StringInstrument', 'Saxophone', None, 'Timpani']",63.979166666666735
157,LCG 01,d minor,0.9493878994852849,4/4,"['Piano', None, None, None, None, None, None, None]",1.6131740624999993
158,LCG 02,d minor,0.563959809553483,4/4,"['Piano', None, None, None, None, None]",2.5929028124999953
159,LCG 03,E major,0.5056038789721223,4/4,[None],12.565790520833334
160,LCG 04,F major,0.7386160627196517,4/4,"['Piano', None]",1.5916666666666666
161,Legend is Born [B],c# minor,0.6977495022426473,4/4,"[None, None, 'Electric Bass', None, 'Soprano Saxophone', None, None, None, None, None, None]",44.44862100000003
162,Legend is Born [W],c# minor,0.7219559840821834,4/4,"[None, None, 'Electric Bass', None, 'Soprano Saxophone', None, None, None, None, None, None]",44.448621000000024
163,Lentimas Town,f# minor,0.6510204202456145,4/4,"[None, None, None, None, 'Clavichord', None, None, None, None]",45.813494354166174
164,Level Up!,E major,0.7968319619531563,4/4,"['Fretless Bass', None, 'StringInstrument', 'Fretless Bass']",0.7642853958333334
165,Lostlorn Forest,A- major,0.5162038443358309,4/4,"['Bassoon', 'Soprano Saxophone', None, None, 'Clarinet', 'Bassoon', None, 'Clarinet', None, None]",62.658463249998626
166,Marine Tube,E- major,0.7815541636753467,4/4,"['Marimba', None, None, None, 'Vibraphone', None, None, 'Shehnai', 'Celesta', None]",73.07379510416584
167,Marvelous Bridge,C major,0.801012561940131,4/4,"[None, None, 'Electric Bass', 'Piano', None, None, None, 'Piano', None]",48.670637354166715
168,Medal Box Update!,C major,0.8778371398075672,4/4,"['Piano', None, None, None, None, None, None]",3.2094562499999904
169,Medal Rally Goal Reached,F major,0.5652712188427685,4/4,"[None, 'Fretless Bass', 'Violin', None, 'Violoncello', None, None, None]",3.1496723125
170,Mission Completed!,B major,0.5561811808629978,4/4,"[None, 'Violin', None, 'Violoncello', None, None, None, None]",4.576275
171,Mission Failed!,F major,0.4526040489458286,4/4,"[None, None, 'Violin', 'Violoncello', None, None, None, None]",2.588233999999999
172,Mission Started!,b- minor,0.787589434377672,4/4,"[None, 'Violin', None, None, 'Violoncello', None, None, None]",4.329549062499999
173,Mistralton City Gym,F# major,0.8410269291504179,4/4,"[None, None, None, None, None, 'Violoncello', None, None, 'Violoncello']",35.98958333333347
174,Mistralton City,b minor,0.7189933033648844,4/4,"[None, None, None, None, None, None, None, 'Piano', None, None, None]",78.37587583333156
175,Move Deleted!,A major,0.5778503557663771,4/4,"['Clavichord', 'Clavichord', 'Clavichord', 'Clavichord', None, 'Piano']",1.8750000000000002
